article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,HPI
84576,Arrigo Boito,Male,1842,Padua,,Italy,Europe,45.41667,11.86667,Writer,Language,Humanities,32,507431,15857,23.5595,61.86059762
68228,Gottfried Benn,Male,1886,Mansfeld (Prignitz),,Germany,Europe,52.51667,13.38333,Writer,Language,Humanities,29,1047921,36135,23.5592,61.85924104
876383,Jean Vianney,Male,1786,Dardilly,,France,Europe,45.8064,4.7536,Religious Figure,Religion,Institutions,31,1277606,41213,23.5564,61.8465796
352564,John Cockcroft,Male,1897,Todmorden,,United Kingdom,Europe,53.713,-2.096,Physicist,Natural Sciences,Science & Technology,47,373265,7942,23.5564,61.8465796
54764,Andrew Lloyd Webber,Male,1948,London,,United Kingdom,Europe,51.5004,-0.1909,Composer,Music,Arts,46,7498163,163004,23.5551,61.84070108
144152,Kevin Costner,Male,1955,Los Angeles,CA,United States,North America,33.92472,-118.20194,Actor,Film And Theatre,Arts,59,15572605,263942,23.5538,61.83482256
254781,Alexander Glazunov,Male,1865,Saint Petersburg,,Russia,Europe,59.95,30.3,Musician,Music,Arts,36,707063,19641,23.5538,61.83482256
68849,Zacharias,Male,-100,Jerusalem,,Israel,Asia,31.78333,35.21667,Religious Figure,Religion,Institutions,31,135121,4359,23.5537,61.83437037
237012,Simeon Saxe-Coburg-Gotha,Male,1937,Sofia,,Bulgaria,Europe,42.7,23.33333,Politician,Government,Institutions,40,1159458,28986,23.5536,61.83391817
814678,Alberto Korda,Male,1928,Havana,,Cuba,North America,23.13333,-82.38333,Photographer,Fine Arts,Arts,28,998520,35661,23.553,61.83120501
102574,Robert Bresson,Male,1901,Bromont-Lamothe,,France,Europe,45.8411,2.82,Film Director,Film And Theatre,Arts,27,1247147,46191,23.5528,61.83030062
342057,Gheorghe Gheorghiu-Dej,Male,1901,BÃ¢rlad,,Romania,Europe,46.21667,27.66667,Politician,Government,Institutions,29,761307,26252,23.5528,61.83030062
95185,Frantz Fanon,Male,1925,Fort-de-France,,France,Europe,14.6,-61.0833,Writer,Language,Humanities,38,2093729,55098,23.5513,61.82351771
336822,Danny Trejo,Male,1944,Los Angeles,CA,United States,North America,,,Actor,Film And Theatre,Arts,30,10842850,361428,23.5507,61.82080454
245369,AndrÃ© ChÃ©nier,Male,1762,Istanbul,,Turkey,Asia,41.01224,28.97602,Writer,Language,Humanities,30,539955,17999,23.55,61.81763919
290850,Alejo Carpentier,Male,1904,Lausanne,,Switzerland,Europe,46.51983,6.6335,Writer,Language,Humanities,34,1669631,49107,23.5492,61.81402163
301839,Fahd of Saudi Arabia,Male,1921,Riyadh,,Saudi Arabia,Asia,24.63333,46.71667,Politician,Government,Institutions,46,2989540,64990,23.5478,61.80769092
15571,John Woo,Male,1946,Guangzhou,,China,Asia,23.13333,113.26667,Film Director,Film And Theatre,Arts,28,3611897,128996,23.5476,61.80678653
70947,Henry the Young King,Male,1155,London,,United Kingdom,Europe,51.50722,-0.1275,Politician,Government,Institutions,34,736551,21663,23.547,61.80407336
269980,Julian Schwinger,Male,1918,New York,NY,United States,North America,40.7127,-74.0059,Physicist,Natural Sciences,Science & Technology,42,550202,13100,23.5465,61.80181239
63105,Deborah Kerr,Female,1921,Glasgow,,United Kingdom,Europe,55.858,-4.259,Actor,Film And Theatre,Arts,36,2915894,80997,23.5443,61.79186412
175863,LÃ¡szlÃ³ Moholy-Nagy,Male,1895,BÃ¡csborsÃ³d,,Hungary,Europe,46.1,19.15,Designer,Design,Arts,26,1180470,45403,23.5441,61.79095974
46116,Grigory Zinoviev,Male,1883,Kirovohrad,,Ukraine,Europe,,,Politician,Government,Institutions,32,879705,27491,23.5436,61.78869877
167595,Anthony Perkins,Male,1932,New York,NY,United States,North America,40.7127,-74.0059,Actor,Film And Theatre,Arts,37,5333931,144160,23.5409,61.77648953
201949,Mia Farrow,Female,1945,Los Angeles,CA,United States,North America,34.05,-118.25,Actor,Film And Theatre,Arts,36,8279337,229982,23.5408,61.77603733
209904,Hiroo Onoda,Male,1922,Kainan,,Japan,Asia,34.15,135.21667,Military Personnel,Military,Institutions,28,3516257,125581,23.5408,61.77603733
1108337,Ali ibn Hussayn,Male,659,Medina,,Saudi Arabia,Asia,32.03333,44.4,Religious Figure,Religion,Institutions,26,472689,18180,23.5404,61.77422856
320005,Gustav Bauer,Male,1870,Ozyorsk,,Russia,Europe,54.4,22.015,Politician,Government,Institutions,33,267380,8102,23.54,61.77241978
410159,AndrÃ© CitroÃ«n,Male,1878,Paris,,France,Europe,48.8567,2.3508,Engineer,Engineering,Science & Technology,31,762745,24605,23.5398,61.77151539
162319,VigdÃ­s FinnbogadÃ³ttir,Female,1930,Reykjavik,,Iceland,Europe,64.13333,-21.93333,Politician,Government,Institutions,40,428782,10720,23.5397,61.7710632
510372,Louis Le Vau,Male,1612,Paris,,France,Europe,48.8567,2.3508,Architect,Design,Arts,26,419563,16137,23.5383,61.76473248
1069980,Pippin of Italy,Male,773,Aachen,,Germany,Europe,50.78333,6.08333,Politician,Government,Institutions,27,257048,9520,23.5375,61.76111493
277451,Tom Selleck,Male,1945,Detroit,MI,United States,North America,42.33139,-83.04583,Actor,Film And Theatre,Arts,36,9994843,277635,23.537,61.75885396
167032,Sarah Vaughan,Female,1924,Newark,NJ,United States,North America,40.72422,-74.17257,Singer,Music,Arts,29,2059326,71011,23.5369,61.75840177
255963,Klaus Mann,Male,1906,Munich,,Germany,Europe,48.13333,11.56667,Writer,Language,Humanities,31,875011,28226,23.5366,61.75704518
220966,Anton Raphael Mengs,Male,1728,ÃšstÃ­ nad Labem,,Czech Republic,Europe,50.65833,14.04167,Painter,Fine Arts,Arts,28,426765,15242,23.5361,61.75478421
1002045,Ã‰milie du ChÃ¢telet,Female,1706,Paris,,France,Europe,48.8567,2.3508,Mathematician,Math,Science & Technology,28,987450,35266,23.5354,61.75161885
439369,Helmuth von Moltke the Younger,Male,1848,Biendorf,,Germany,Europe,54.08333,11.7,Military Personnel,Military,Institutions,30,610256,20342,23.5346,61.7480013
53427,Kenzo Tange,Male,1913,Osaka,,Japan,Asia,34.69389,135.50222,Architect,Design,Arts,42,1825724,43470,23.5342,61.74619253
8945,Derek Walcott,Male,1930,Castries,,Saint Lucia,North America,14.01667,-60.98333,Writer,Language,Humanities,55,1177350,21406,23.5322,61.73714865
34381,Yevgeny Zamyatin,Male,1884,Lebedyan,,Russia,Europe,53.01667,39.15,Writer,Language,Humanities,35,616630,17618,23.5317,61.73488767
200385,Albert Kesselring,Male,1885,Marktsteft,,Germany,Europe,49.7,10.11667,Military Personnel,Military,Institutions,31,2014643,64988,23.5306,61.72991354
1345240,Guus Hiddink,Male,1946,Varsseveld,,Netherlands,Europe,51.95,6.46667,Coach,Team Sports,Sports,45,4033480,89633,23.5301,61.72765257
254379,Mary I of Portugal,Female,1734,Lisbon,,Portugal,Europe,38.71389,-9.13944,Politician,Government,Institutions,29,816847,28167,23.5297,61.72584379
92232,Diodotus Tryphon,Male,-160,Other,,Unknown,Unknown,,,Politician,Government,Institutions,27,109734,4064,23.5294,61.72448721
410338,Pierre Cardin,Male,1922,San Biagio di Callalta,,Italy,Europe,45.68333,12.38333,Fashion Designer,Design,Arts,26,2203580,84753,23.5293,61.72403502
222567,Igor Kurchatov,Male,1903,Sim,,Russia,Europe,54.98333,57.7,Physicist,Natural Sciences,Science & Technology,40,414450,10361,23.5291,61.72313063
12277,Gordon Banks,Male,1937,Sheffield,,United Kingdom,Europe,53.38361,-1.46694,Soccer Player,Team Sports,Sports,36,1454662,40407,23.5283,61.71951308
35991378,Kim Young-sam,Male,1927,Geoje,,South Korea,Asia,34.85806,128.61833,Politician,Government,Institutions,51,907966,17803,23.5278,61.71725211
163645,Joseph Addison,Male,1672,Milston,,United Kingdom,Europe,51.207,-1.767,Writer,Language,Humanities,35,697622,19932,23.5271,61.71408675
151903,Sir Stanley Matthews,Male,1915,Stoke-on-Trent,,United Kingdom,Europe,53.0246,-2.1729,Soccer Player,Team Sports,Sports,34,1555463,45749,23.5271,61.71408675
66206,Paul Verhoeven,Male,1938,Amsterdam,,Netherlands,Europe,52.36667,4.9,Film Director,Film And Theatre,Arts,36,2237607,62156,23.527,61.71363455
396531,Edward Mills Purcell,Male,1912,Taylorville,IL,United States,North America,39.54083,-89.28806,Physicist,Natural Sciences,Science & Technology,43,372751,8669,23.5269,61.71318236
780487,Hans von Euler-Chelpin,Male,1873,Augsburg,,Germany,Europe,48.36667,10.9,Chemist,Natural Sciences,Science & Technology,38,220023,5790,23.5269,61.71318236
471660,NÃ¢zÄ±m Hikmet,Male,1902,Thessaloniki,,Greece,Europe,40.65,22.9,Writer,Language,Humanities,40,2747313,68683,23.5262,61.710017
43715,John McCain,Male,1936,Panama Canal Zone,,Panama,North America,,,Politician,Government,Institutions,89,20393867,229145,23.5261,61.70956481
103152,John Everett Millais,Male,1829,Southampton,,United Kingdom,Europe,50.9,-1.4,Painter,Fine Arts,Arts,34,1993991,58647,23.5258,61.70820823
19958,Mario Botta,Male,1943,Mendrisio,,Switzerland,Europe,45.86667,8.98333,Architect,Design,Arts,27,845224,31305,23.5239,61.69961654
615868,Gianni Rivera,Male,1943,Alessandria,,Italy,Europe,44.91667,8.61667,Soccer Player,Team Sports,Sports,38,1334827,35127,23.5238,61.69916435
22870422,Charles Hermite,Male,1822,Dieuze,,France,Europe,48.81278,6.72056,Mathematician,Math,Science & Technology,29,352280,12148,23.5238,61.69916435
146714,Max Schmeling,Male,1905,Klein Luckow,,Germany,Europe,53.55333,13.83806,Boxer,Individual Sports,Sports,26,2235337,85975,23.5227,61.69419021
63157,Anna Pavlova,Female,1881,Saint Petersburg,,Russia,Europe,59.95,30.3,Dancer,Dance,Arts,41,1933653,47162,23.5206,61.68469414
2111110,Ferenc MolnÃ¡r,Male,1878,Budapest,,Hungary,Europe,47.4925,19.05139,Writer,Language,Humanities,28,797409,28479,23.5206,61.68469414
273815,Dolores IbÃ¡rruri,Female,1895,Basque Country,,Spain,Europe,42.83333,-2.68333,Politician,Government,Institutions,32,1191876,37246,23.519,61.67745903
19975,Muhammad ibn Abd-al-Wahhab,Male,1703,Najd,,Saudi Arabia,Asia,,,Philosopher,Philosophy,Humanities,27,1524197,56452,23.5187,61.67610245
80830,Ahmed Yassin,Male,1937,Ashkelon,,Israel,Asia,31.66504,34.55421,Religious Figure,Religion,Institutions,41,1456792,35532,23.5186,61.67565026
49804,Gary Becker,Male,1930,Pottsville,PA,United States,North America,40.685,-76.20278,Economist,Social Sciences,Science & Technology,39,1073283,27520,23.5185,61.67519806
179105,Lana Turner,Female,1921,Wallace,ID,United States,North America,47.47306,-115.925,Actor,Film And Theatre,Arts,39,4293733,110096,23.518,61.67293709
44014,Henry Hudson,Male,1565,England,,United Kingdom,Europe,51.5,-0.11667,Explorer,Explorers,Exploration,45,3282052,72934,23.5177,61.67158051
25071,Paavo Nurmi,Male,1897,Grand Duchy of Finland,,Germany,Europe,52.51667,13.4,Athlete,Individual Sports,Sports,48,1303499,27156,23.5173,61.66977173
321734,August Krogh,Male,1874,GrenÃ¥,,Denmark,Europe,56.36667,10.88333,Physician,Medicine,Science & Technology,37,247223,6682,23.5163,61.66524979
48874,Hugo ChÃ¡vez,Male,1954,Sabaneta,,Venezuela,South America,8.75222,-69.9325,Politician,Government,Institutions,95,20304774,213734,23.516,61.66389321
