Column1,Unnamed: 0,en_curid,name,numlangs,countryCode3,birthyear,birthcity,gender,occupation,industry,domain,date,pageviews
1,1,308,Aristotle,152,GRC,-384,Stageira,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,558723
7,7,736,Albert Einstein,166,DEU,1879,Ulm,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,977656
8,8,783,Alexander the Great,138,GRC,-356,Pella,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-01,498981
31,31,1130,Avicenna,102,UZB,980,Bukhara,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,101793
40,40,1273,Augustus,117,ITA,-63,Rome,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,262157
103,103,1844,Archimedes,129,ITA,-287,Syracuse,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,328998
173,173,3395,Gautama Buddha,124,IND,-563,Lumbini,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,181554
227,227,5635,Christopher Columbus,153,ITA,1451,Genoa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,543179
238,238,5823,Confucius,192,CHN,-551,Qufu,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,191566
306,306,8169,Dante,137,ITA,1265,Florence,Missing,WRITER, LANGUAGE,HUMANITIES,2008-01,217911
628,628,14627,Isaac Newton,191,GBR,1642,Woolsthorpe-by-Colsterworth,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,614099
629,629,14631,Immanuel Kant,125,DEU,1724,Königsberg,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,316169
656,656,15641,Joseph Stalin,134,GEO,1878,Gori,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,372757
687,687,15924,Julius Caesar,128,ITA,-100,Suburra,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,583257
769,769,16509,Jeanne d'Arc,104,FRA,1412,Domrémy-la-Pucelle,Female,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-01,243612
789,789,16743,Karl Marx,148,DEU,1818,Trier,Male,ECONOMIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,456869
846,846,17914,Ludwig van Beethoven,153,DEU,1770,Bonn,Male,COMPOSER, MUSIC,ARTS,2008-01,576916
865,865,18079,Leonardo Da Vinci,174,ITA,1452,Anchiano,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-01,1042278
878,878,18553,Louis XIV of France,89,FRA,1638,Château de Saint-Germain-en-Laye,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,211070
889,889,18934,Muhammad,150,SAU,570,Mecca,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,459382
894,894,19334,Marco Polo,127,ITA,1254,Venice,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,200719
908,908,19577,Moses,115,EGY,-1391,Wadi Tumilat,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,214900
982,982,21019,Michelangelo,158,ITA,1475,Caprese Michelangelo,Male,PAINTER, FINE ARTS,ARTS,2008-01,447588
1031,1031,22954,Plato,142,GRC,-427,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,491156
1257,1257,25525,René Descartes,120,FRA,1596,"Descartes, Indre-et-Loire",Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,298522
1322,1322,26743,Sigmund Freud,134,CZE,1856,Příbor,Male,PSYCHOLOGIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,480626
1392,1392,29778,Thomas Edison,126,USA,1847,Milan,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-01,435560
1394,1394,29922,Thomas Jefferson,113,USA,1743,Albemarle County,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,340585
1461,1461,32603,Vincent van Gogh,155,NLD,1853,Zundert,Male,PAINTER, FINE ARTS,ARTS,2008-01,491431
1469,1469,32897,William Shakespeare,163,GBR,1564,Stratford-upon-Avon,Male,WRITER, LANGUAGE,HUMANITIES,2008-01,916323
1481,1481,33163,Wolfgang Amadeus Mozart,177,AUT,1756,Salzburg,Male,COMPOSER, MUSIC,ARTS,2008-01,692544
1888,1888,45080,Vasco da Gama,119,PRT,1469,Sines,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,127885
2715,2715,69880,Napoleon Bonaparte,145,FRA,1769,Corsica,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,506273
2799,2799,73513,Mary,100,ISR,-100,Nazareth,Female,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,49787
5753,5753,323592,Nicolaus Copernicus,128,POL,1473,Toruń,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,229157
8192,8192,1095706,Jesus Christ,214,PSE,-4,Bethlehem,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,629071
9146,9146,2731583,Adolf Hitler,169,AUT,1889,Braunau am Inn,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,1302419
9505,9505,4848272,Donald Trump,52,USA,1946,Queens,Male,BUSINESSPERSON, BUSINESS,BUSINESS & LAW,2008-01,205279
9783,9783,7567080,Martin Luther,125,DEU,1483,Eisleben,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,414162
9850,9850,8145410,Charles Darwin,148,GBR,1809,Shrewsbury,Male,BIOLOGIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,416668
9939,9939,9906294,Johann Sebastian Bach,144,DEU,1685,Eisenach,Male,COMPOSER, MUSIC,ARTS,2008-01,360346
9974,9974,11015252,Vladimir Lenin,137,RUS,1870,Ulyanovsk,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-01,204548
10020,10020,12153654,Elizabeth II of the United Kingdom,127,GBR,1926,London,Female,NOBLEMAN, GOVERNMENT,INSTITUTIONS,2008-01,110345
10082,10082,13623554,Che Guevara,129,ARG,1928,Rosario,Male,SOCIAL ACTIVIST, ACTIVISM,PUBLIC FIGURE,2008-01,507134
10177,10177,17414699,Genghis Khan,121,MNG,1162,Delüün Boldog,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-01,210422
10333,10333,19914843,Ferdinand Magellan,120,PRT,1480,Sabrosa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-01,151945
10569,10569,25664190,Socrates,137,GRC,-469,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-01,397732
10666,10666,29688374,Galileo Galilei,146,ITA,1564,Pisa,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-01,475467
10712,10712,31665644,Saint Peter,98,SYR,0,Bethsaida,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-01,117374
10753,10753,308,Aristotle,152,GRC,-384,Stageira,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,588083
10759,10759,736,Albert Einstein,166,DEU,1879,Ulm,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,863741
10760,10760,783,Alexander the Great,138,GRC,-356,Pella,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-02,481228
10783,10783,1130,Avicenna,102,UZB,980,Bukhara,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,95598
10792,10792,1273,Augustus,117,ITA,-63,Rome,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,201457
10855,10855,1844,Archimedes,129,ITA,-287,Syracuse,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,252447
10925,10925,3395,Gautama Buddha,124,IND,-563,Lumbini,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,185527
10979,10979,5635,Christopher Columbus,153,ITA,1451,Genoa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-02,536723
10990,10990,5823,Confucius,192,CHN,-551,Qufu,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,188451
11058,11058,8169,Dante,137,ITA,1265,Florence,Missing,WRITER, LANGUAGE,HUMANITIES,2008-02,215154
11380,11380,14627,Isaac Newton,191,GBR,1642,Woolsthorpe-by-Colsterworth,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,608007
11381,11381,14631,Immanuel Kant,125,DEU,1724,Königsberg,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,307649
11408,11408,15641,Joseph Stalin,134,GEO,1878,Gori,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,395356
11439,11439,15924,Julius Caesar,128,ITA,-100,Suburra,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,490317
11521,11521,16509,Jeanne d'Arc,104,FRA,1412,Domrémy-la-Pucelle,Female,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-02,221469
11541,11541,16743,Karl Marx,148,DEU,1818,Trier,Male,ECONOMIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,441222
11598,11598,17914,Ludwig van Beethoven,153,DEU,1770,Bonn,Male,COMPOSER, MUSIC,ARTS,2008-02,473964
11617,11617,18079,Leonardo Da Vinci,174,ITA,1452,Anchiano,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-02,931623
11630,11630,18553,Louis XIV of France,89,FRA,1638,Château de Saint-Germain-en-Laye,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,209414
11641,11641,18934,Muhammad,150,SAU,570,Mecca,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-02,1219741
11646,11646,19334,Marco Polo,127,ITA,1254,Venice,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-02,186688
11660,11660,19577,Moses,115,EGY,-1391,Wadi Tumilat,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-02,198045
11734,11734,21019,Michelangelo,158,ITA,1475,Caprese Michelangelo,Male,PAINTER, FINE ARTS,ARTS,2008-02,466412
11783,11783,22954,Plato,142,GRC,-427,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,525820
12009,12009,25525,René Descartes,120,FRA,1596,"Descartes, Indre-et-Loire",Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,273123
12074,12074,26743,Sigmund Freud,134,CZE,1856,Příbor,Male,PSYCHOLOGIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,491485
12144,12144,29778,Thomas Edison,126,USA,1847,Milan,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-02,446338
12146,12146,29922,Thomas Jefferson,113,USA,1743,Albemarle County,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,384949
12213,12213,32603,Vincent van Gogh,155,NLD,1853,Zundert,Male,PAINTER, FINE ARTS,ARTS,2008-02,488253
12221,12221,32897,William Shakespeare,163,GBR,1564,Stratford-upon-Avon,Male,WRITER, LANGUAGE,HUMANITIES,2008-02,793842
12233,12233,33163,Wolfgang Amadeus Mozart,177,AUT,1756,Salzburg,Male,COMPOSER, MUSIC,ARTS,2008-02,596870
12640,12640,45080,Vasco da Gama,119,PRT,1469,Sines,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-02,116546
13467,13467,69880,Napoleon Bonaparte,145,FRA,1769,Corsica,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,498386
13551,13551,73513,Mary,100,ISR,-100,Nazareth,Female,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-02,44469
16505,16505,323592,Nicolaus Copernicus,128,POL,1473,Toruń,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,238498
18944,18944,1095706,Jesus Christ,214,PSE,-4,Bethlehem,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-02,555011
19898,19898,2731583,Adolf Hitler,169,AUT,1889,Braunau am Inn,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,1299304
20257,20257,4848272,Donald Trump,52,USA,1946,Queens,Male,BUSINESSPERSON, BUSINESS,BUSINESS & LAW,2008-02,172841
20535,20535,7567080,Martin Luther,125,DEU,1483,Eisleben,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-02,386474
20602,20602,8145410,Charles Darwin,148,GBR,1809,Shrewsbury,Male,BIOLOGIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,503373
20691,20691,9906294,Johann Sebastian Bach,144,DEU,1685,Eisenach,Male,COMPOSER, MUSIC,ARTS,2008-02,348782
20726,20726,11015252,Vladimir Lenin,137,RUS,1870,Ulyanovsk,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-02,254039
20772,20772,12153654,Elizabeth II of the United Kingdom,127,GBR,1926,London,Female,NOBLEMAN, GOVERNMENT,INSTITUTIONS,2008-02,112549
20834,20834,13623554,Che Guevara,129,ARG,1928,Rosario,Male,SOCIAL ACTIVIST, ACTIVISM,PUBLIC FIGURE,2008-02,678916
20929,20929,17414699,Genghis Khan,121,MNG,1162,Delüün Boldog,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-02,213259
21085,21085,19914843,Ferdinand Magellan,120,PRT,1480,Sabrosa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-02,134026
21321,21321,25664190,Socrates,137,GRC,-469,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-02,426088
21418,21418,29688374,Galileo Galilei,146,ITA,1564,Pisa,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-02,517341
21464,21464,31665644,Saint Peter,98,SYR,0,Bethsaida,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-02,108598
21505,21505,308,Aristotle,152,GRC,-384,Stageira,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,609055
21511,21511,736,Albert Einstein,166,DEU,1879,Ulm,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,961494
21512,21512,783,Alexander the Great,138,GRC,-356,Pella,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-03,486006
21535,21535,1130,Avicenna,102,UZB,980,Bukhara,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,122310
21544,21544,1273,Augustus,117,ITA,-63,Rome,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,222303
21607,21607,1844,Archimedes,129,ITA,-287,Syracuse,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,263718
21677,21677,3395,Gautama Buddha,124,IND,-563,Lumbini,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,210558
21731,21731,5635,Christopher Columbus,153,ITA,1451,Genoa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-03,521378
21742,21742,5823,Confucius,192,CHN,-551,Qufu,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,181452
21810,21810,8169,Dante,137,ITA,1265,Florence,Missing,WRITER, LANGUAGE,HUMANITIES,2008-03,206438
22132,22132,14627,Isaac Newton,191,GBR,1642,Woolsthorpe-by-Colsterworth,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,615270
22133,22133,14631,Immanuel Kant,125,DEU,1724,Königsberg,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,297941
22160,22160,15641,Joseph Stalin,134,GEO,1878,Gori,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,464532
22191,22191,15924,Julius Caesar,128,ITA,-100,Suburra,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,538661
22273,22273,16509,Jeanne d'Arc,104,FRA,1412,Domrémy-la-Pucelle,Female,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-03,248314
22293,22293,16743,Karl Marx,148,DEU,1818,Trier,Male,ECONOMIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,472823
22350,22350,17914,Ludwig van Beethoven,153,DEU,1770,Bonn,Male,COMPOSER, MUSIC,ARTS,2008-03,487139
22369,22369,18079,Leonardo Da Vinci,174,ITA,1452,Anchiano,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-03,981266
22382,22382,18553,Louis XIV of France,89,FRA,1638,Château de Saint-Germain-en-Laye,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,203949
22393,22393,18934,Muhammad,150,SAU,570,Mecca,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-03,538337
22398,22398,19334,Marco Polo,127,ITA,1254,Venice,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-03,188853
22412,22412,19577,Moses,115,EGY,-1391,Wadi Tumilat,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-03,253828
22486,22486,21019,Michelangelo,158,ITA,1475,Caprese Michelangelo,Male,PAINTER, FINE ARTS,ARTS,2008-03,489367
22535,22535,22954,Plato,142,GRC,-427,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,525260
22761,22761,25525,René Descartes,120,FRA,1596,"Descartes, Indre-et-Loire",Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,264672
22826,22826,26743,Sigmund Freud,134,CZE,1856,Příbor,Male,PSYCHOLOGIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,489253
22896,22896,29778,Thomas Edison,126,USA,1847,Milan,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-03,376743
22898,22898,29922,Thomas Jefferson,113,USA,1743,Albemarle County,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,388592
22965,22965,32603,Vincent van Gogh,155,NLD,1853,Zundert,Male,PAINTER, FINE ARTS,ARTS,2008-03,531809
22973,22973,32897,William Shakespeare,163,GBR,1564,Stratford-upon-Avon,Male,WRITER, LANGUAGE,HUMANITIES,2008-03,759997
22985,22985,33163,Wolfgang Amadeus Mozart,177,AUT,1756,Salzburg,Male,COMPOSER, MUSIC,ARTS,2008-03,601184
23392,23392,45080,Vasco da Gama,119,PRT,1469,Sines,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-03,111532
24219,24219,69880,Napoleon Bonaparte,145,FRA,1769,Corsica,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,531946
24303,24303,73513,Mary,100,ISR,-100,Nazareth,Female,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-03,52273
27257,27257,323592,Nicolaus Copernicus,128,POL,1473,Toruń,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,204386
29696,29696,1095706,Jesus Christ,214,PSE,-4,Bethlehem,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-03,760513
30650,30650,2731583,Adolf Hitler,169,AUT,1889,Braunau am Inn,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,1415713
31009,31009,4848272,Donald Trump,52,USA,1946,Queens,Male,BUSINESSPERSON, BUSINESS,BUSINESS & LAW,2008-03,201606
31287,31287,7567080,Martin Luther,125,DEU,1483,Eisleben,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-03,396622
31354,31354,8145410,Charles Darwin,148,GBR,1809,Shrewsbury,Male,BIOLOGIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,510859
31443,31443,9906294,Johann Sebastian Bach,144,DEU,1685,Eisenach,Male,COMPOSER, MUSIC,ARTS,2008-03,375038
31478,31478,11015252,Vladimir Lenin,137,RUS,1870,Ulyanovsk,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-03,242843
31524,31524,12153654,Elizabeth II of the United Kingdom,127,GBR,1926,London,Female,NOBLEMAN, GOVERNMENT,INSTITUTIONS,2008-03,131618
31586,31586,13623554,Che Guevara,129,ARG,1928,Rosario,Male,SOCIAL ACTIVIST, ACTIVISM,PUBLIC FIGURE,2008-03,512402
31681,31681,17414699,Genghis Khan,121,MNG,1162,Delüün Boldog,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-03,249710
31837,31837,19914843,Ferdinand Magellan,120,PRT,1480,Sabrosa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-03,136963
32073,32073,25664190,Socrates,137,GRC,-469,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-03,431750
32170,32170,29688374,Galileo Galilei,146,ITA,1564,Pisa,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-03,541027
32216,32216,31665644,Saint Peter,98,SYR,0,Bethsaida,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-03,138587
32257,32257,308,Aristotle,152,GRC,-384,Stageira,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,653754
32263,32263,736,Albert Einstein,166,DEU,1879,Ulm,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-04,970245
32264,32264,783,Alexander the Great,138,GRC,-356,Pella,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-04,526270
32287,32287,1130,Avicenna,102,UZB,980,Bukhara,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,109182
32296,32296,1273,Augustus,117,ITA,-63,Rome,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,225506
32359,32359,1844,Archimedes,129,ITA,-287,Syracuse,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,267257
32429,32429,3395,Gautama Buddha,124,IND,-563,Lumbini,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,250353
32483,32483,5635,Christopher Columbus,153,ITA,1451,Genoa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-04,591372
32494,32494,5823,Confucius,192,CHN,-551,Qufu,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,198783
32562,32562,8169,Dante,137,ITA,1265,Florence,Missing,WRITER, LANGUAGE,HUMANITIES,2008-04,215079
32884,32884,14627,Isaac Newton,191,GBR,1642,Woolsthorpe-by-Colsterworth,Male,PHYSICIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-04,618308
32885,32885,14631,Immanuel Kant,125,DEU,1724,Königsberg,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,376785
32912,32912,15641,Joseph Stalin,134,GEO,1878,Gori,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,510812
32943,32943,15924,Julius Caesar,128,ITA,-100,Suburra,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,522846
33025,33025,16509,Jeanne d'Arc,104,FRA,1412,Domrémy-la-Pucelle,Female,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-04,247077
33045,33045,16743,Karl Marx,148,DEU,1818,Trier,Male,ECONOMIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-04,506947
33102,33102,17914,Ludwig van Beethoven,153,DEU,1770,Bonn,Male,COMPOSER, MUSIC,ARTS,2008-04,507600
33121,33121,18079,Leonardo Da Vinci,174,ITA,1452,Anchiano,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-04,1137012
33134,33134,18553,Louis XIV of France,89,FRA,1638,Château de Saint-Germain-en-Laye,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,224368
33145,33145,18934,Muhammad,150,SAU,570,Mecca,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-04,421374
33150,33150,19334,Marco Polo,127,ITA,1254,Venice,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-04,205774
33164,33164,19577,Moses,115,EGY,-1391,Wadi Tumilat,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-04,241549
33238,33238,21019,Michelangelo,158,ITA,1475,Caprese Michelangelo,Male,PAINTER, FINE ARTS,ARTS,2008-04,548428
33287,33287,22954,Plato,142,GRC,-427,Athens,Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,578426
33513,33513,25525,René Descartes,120,FRA,1596,"Descartes, Indre-et-Loire",Male,PHILOSOPHER, PHILOSOPHY,HUMANITIES,2008-04,280907
33578,33578,26743,Sigmund Freud,134,CZE,1856,Příbor,Male,PSYCHOLOGIST, SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,2008-04,558022
33648,33648,29778,Thomas Edison,126,USA,1847,Milan,Male,INVENTOR, INVENTION,SCIENCE & TECHNOLOGY,2008-04,391139
33650,33650,29922,Thomas Jefferson,113,USA,1743,Albemarle County,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,591016
33717,33717,32603,Vincent van Gogh,155,NLD,1853,Zundert,Male,PAINTER, FINE ARTS,ARTS,2008-04,557814
33725,33725,32897,William Shakespeare,163,GBR,1564,Stratford-upon-Avon,Male,WRITER, LANGUAGE,HUMANITIES,2008-04,937084
33737,33737,33163,Wolfgang Amadeus Mozart,177,AUT,1756,Salzburg,Male,COMPOSER, MUSIC,ARTS,2008-04,628752
34144,34144,45080,Vasco da Gama,119,PRT,1469,Sines,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-04,123391
34971,34971,69880,Napoleon Bonaparte,145,FRA,1769,Corsica,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,564386
35055,35055,73513,Mary,100,ISR,-100,Nazareth,Female,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-04,51545
38009,38009,323592,Nicolaus Copernicus,128,POL,1473,Toruń,Male,ASTRONOMER, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-04,221052
40448,40448,1095706,Jesus Christ,214,PSE,-4,Bethlehem,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-04,619758
41402,41402,2731583,Adolf Hitler,169,AUT,1889,Braunau am Inn,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,1755098
41761,41761,4848272,Donald Trump,52,USA,1946,Queens,Male,BUSINESSPERSON, BUSINESS,BUSINESS & LAW,2008-04,186253
42039,42039,7567080,Martin Luther,125,DEU,1483,Eisleben,Male,RELIGIOUS FIGURE, RELIGION,INSTITUTIONS,2008-04,453855
42106,42106,8145410,Charles Darwin,148,GBR,1809,Shrewsbury,Male,BIOLOGIST, NATURAL SCIENCES,SCIENCE & TECHNOLOGY,2008-04,569129
42195,42195,9906294,Johann Sebastian Bach,144,DEU,1685,Eisenach,Male,COMPOSER, MUSIC,ARTS,2008-04,398680
42230,42230,11015252,Vladimir Lenin,137,RUS,1870,Ulyanovsk,Male,POLITICIAN, GOVERNMENT,INSTITUTIONS,2008-04,298314
42276,42276,12153654,Elizabeth II of the United Kingdom,127,GBR,1926,London,Female,NOBLEMAN, GOVERNMENT,INSTITUTIONS,2008-04,126416
42338,42338,13623554,Che Guevara,129,ARG,1928,Rosario,Male,SOCIAL ACTIVIST, ACTIVISM,PUBLIC FIGURE,2008-04,527748
42433,42433,17414699,Genghis Khan,121,MNG,1162,Delüün Boldog,Male,MILITARY PERSONNEL, MILITARY,INSTITUTIONS,2008-04,285156
42589,42589,19914843,Ferdinand Magellan,120,PRT,1480,Sabrosa,Male,EXPLORER, EXPLORERS,EXPLORATION,2008-04,146575
